location, lat, long 
Milano, 45.463619, 9.188120
Berlin,52.523430, 13.411440
Paris, 48.856613, 2.352222
Madrid, 40.416775, -3.703790
Zurich, 47.376888, 8.541694
Wien, 48.20849, 16.37208
Warszawa, 52.22977, 21.01178
London, 51.50853, -0.12574
Amsterdam, 52.37403, 4.88969
Bruxelles, 50.85045, 4.34878
Rome, 41.89193, 12.51133
Hamburg, 53.55073, 9.99302
Marseille, 43.29695, 5.38107
Barcelona, 41.38879, 2.15899
Basel, 47.55839, 7.57327
Rotterdam, 51.9225, 4.47917
Firenze, 43.77925, 11.24626
Munich, 48.13743, 11.57549
Lyon, 45.74846, 4.84671
Sevilla, 37.38283, -5.97317
Utrecht, 52.09083, 5.12222
Geneva, 46.20222, 6.14569
Köln, 50.93333, 6.95
Bordeaux, 44.84044, -0.5805
Valencia, 39.46975, -0.37739
Eindhoven, 51.44083, 5.47778
Frankfurt, 50.11552, 8.68417
Toulouse, 43.60426, 1.44367
Zaragoza, 41.65606, -0.87734
Den Haag, 52.07667, 4.29861
Bologna, 44.49381, 11.33875
Napoli, 40.85216, 14.26811
Torino, 45.07049, 7.68682
